soc,title,linguistic,logical,spatial,kinesthetic,musical,interpersonal,intrapersonal,naturalistic,linguistic_z,logical_z,spatial_z,kinesthetic_z,musical_z,interpersonal_z,intrapersonal_z,naturalistic_z,linguistic_pct,logical_pct,spatial_pct,kinesthetic_pct,musical_pct,interpersonal_pct,intrapersonal_pct,naturalistic_pct
13-2011.00,Accountants and Auditors,22.3,19.41,9.57,1.33,4.1,15.55,16.06,11.68,0.941,1.756,-0.852,-1.174,-0.801,0.33,0.6,-0.177,83.3,93.0,23.9,7.3,24.4,62.3,73.9,46.8
27-2011.00,Actors,22.41,8.85,13.73,4.94,13.07,14.11,13.08,9.81,0.969,-2.074,0.832,-0.486,1.797,-0.089,-0.458,-1.143,83.9,0.3,77.9,42.1,94.6,50.7,37.6,10.6
15-2011.00,Actuaries,21.25,24.67,9.35,0.92,3.17,12.41,15.93,12.3,0.674,3.664,-0.941,-1.253,-1.07,-0.583,0.554,0.144,75.4,100.0,20.1,0.7,12.4,34.8,71.7,61.3
29-1291.00,Acupuncturists,18.92,13.52,10.3,6.28,3.0,18.43,17.03,12.52,0.081,-0.38,-0.557,-0.23,-1.119,1.167,0.945,0.258,52.9,41.8,34.6,49.8,9.6,84.8,81.3,66.7
29-1141.01,Acute Care Nurses,19.05,14.18,9.14,4.29,5.3,18.04,18.27,11.74,0.114,-0.141,-1.027,-0.61,-0.453,1.054,1.386,-0.146,54.3,51.3,17.2,38.0,40.9,81.7,90.8,48.4
25-2059.01,Adapted Physical Education Specialists,19.03,12.46,9.18,8.45,5.23,17.34,19.24,9.06,0.109,-0.764,-1.01,0.184,-0.473,0.85,1.73,-1.531,54.1,24.5,17.7,60.3,39.6,77.2,94.0,3.7
51-9191.00,Adhesive Bonding Machine Operators and Tenders,13.73,11.92,12.54,15.87,11.84,10.36,10.97,12.77,-1.238,-0.96,0.35,1.6,1.441,-1.179,-1.208,0.387,12.0,15.3,63.3,92.6,89.9,12.0,11.2,71.7
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",25.64,17.02,8.83,1.23,3.64,15.21,17.98,10.46,1.79,0.889,-1.152,-1.194,-0.934,0.231,1.283,-0.807,95.6,81.9,11.4,5.9,19.6,59.1,88.4,20.7
11-3012.00,Administrative Services Managers,22.14,14.81,9.7,3.27,5.83,18.65,15.52,10.09,0.9,0.088,-0.8,-0.804,-0.3,1.231,0.409,-0.999,82.3,61.0,26.6,31.0,45.9,86.8,66.8,14.1
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",24.25,13.49,9.23,1.54,4.38,18.15,18.5,10.46,1.437,-0.391,-0.99,-1.134,-0.72,1.085,1.467,-0.807,92.1,41.3,18.2,12.0,27.7,82.9,92.6,20.7
29-1141.02,Advanced Practice Psychiatric Nurses,19.06,14.27,7.7,2.11,3.33,20.83,20.15,12.55,0.117,-0.108,-1.61,-1.026,-1.024,1.865,2.054,0.273,54.5,52.9,2.8,20.6,14.1,97.3,97.4,67.1
41-3011.00,Advertising Sales Agents,23.61,14.59,10.49,2.36,4.71,20.07,13.59,10.58,1.274,0.008,-0.48,-0.978,-0.624,1.644,-0.277,-0.745,89.4,57.6,37.8,23.0,32.3,94.3,43.3,23.3
11-2011.00,Advertising and Promotions Managers,23.21,15.93,11.61,1.65,3.15,17.44,16.03,10.99,1.172,0.494,-0.026,-1.113,-1.076,0.879,0.59,-0.533,88.0,72.5,52.0,15.0,11.7,77.6,73.6,31.1
